order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit
2196,Kids,Soccer,Premier III,9,2,2708.73,0,5417.46,30/06/2025,Online,Delhi,925.63
2197,Kids,Training,ZoomX Invincible,9,3,5966.81,0,17900.42,10/06/2024,Online,Bengaluru,-418.5
2198,Men,Training,SuperRep Go,7,4,5966.81,0.65,8353.53,01/05/2025,Online,Pune,-169.33
2205,Women,Running,React Infinity,11,0,5966.81,0,0,24/04/2025,Retail,Pune,-467.52
2000,Kids,Training,Metcon 7,11,4,5966.81,0.94,1432.03,27/02/2024,Retail,Bengaluru,2372.82
2215,Men,Basketball,Zoom Freak,11,3,5966.81,0.36,11456.27,16/12/2024,Online,Kolkata,3254.06
2221,Kids,Lifestyle,Waffle One,9,2,3375.97,0,6751.94,01/06/2024,Retail,Mumbai,-297.05
2222,Men,Training,ZoomX Invincible,11,2,8897.19,0.11,15837,21/12/2024,Retail,Mumbai,2821.69
2231,Kids,Training,Flex Trainer,9,0,5966.81,1,0,01/04/2025,Online,Bengaluru,-39.48
2234,Men,Training,Flex Trainer,11,4,6189.1,1,0,21/12/2024,Retail,Bengaluru,2085.62
2042,Men,Basketball,Kyrie Flytrap,10,1,5254.47,0,5254.47,26/02/2025,Retail,Bengaluru,2459.63
2248,Men,Training,Metcon 7,7,4,8249.96,0.24,25079.88,16/01/2024,Online,Bengaluru,1625.14
2046,Men,Basketball,Air Jordan,11,2,9593.65,0,19187.3,01/11/2025,Online,Hyderabad,1592.5
2253,Men,Training,Flex Trainer,7,0,5966.81,0,0,18/05/2025,Online,Bengaluru,1516.72
2257,Men,Basketball,Kyrie Flytrap,11,1,5966.81,0,5966.81,02/09/2025,Online,Mumbai,-365.42
2260,Women,Lifestyle,Dunk Low,7,2,5966.81,0,11933.61,12/12/2024,Retail,Pune,-352.18
2262,Women,Running,Pegasus Turbo,9,0,5966.81,0,0,15/09/2024,Retail,Pune,3146.93
2263,Women,Soccer,Premier III,7,0,5172.14,0,0,10/08/2024,Online,Kolkata,2510.55
2264,Men,Training,ZoomX Invincible,11,4,5622.32,1,0,22/04/2024,Retail,Bengaluru,1248.25
2268,Men,Soccer,Mercurial Superfly,7,3,7330.81,0,21992.43,16/11/2023,Online,Kolkata,518.71
2269,Women,Training,ZoomX Invincible,11,4,6424.32,0,25697.28,14/07/2024,Retail,Mumbai,-405.26
2270,Men,Running,React Infinity,11,1,5966.81,1,0,06/06/2025,Retail,Pune,3088.25
2038,Women,Training,ZoomX Invincible,11,1,7338.57,0,7338.57,21/10/2024,Retail,Delhi,3680.24
2274,Women,Training,Metcon 7,6,4,5966.81,0.45,13126.97,13/06/2025,Online,Bengaluru,2561.89
2281,Kids,Lifestyle,Waffle One,7,2,5966.81,0,11933.61,13/07/2025,Retail,Kolkata,1753.48
2283,Men,Soccer,Mercurial Superfly,10,1,5966.81,0,5966.81,21/08/2024,Retail,Delhi,468.59
2292,Women,Running,Free RN,7,2,5966.81,1,0,11/05/2024,Online,Kolkata,1192.5
2293,Women,Basketball,Air Jordan,11,3,5966.81,0,17900.42,13/05/2025,Retail,Mumbai,2525.87
2299,Kids,Soccer,Phantom GT,11,2,5966.81,0.77,2744.73,05/09/2025,Online,Hyderabad,2596.8
2300,Men,Basketball,Air Jordan,9,3,6331.64,0.78,4178.88,17/08/2024,Retail,Delhi,3380.28
2302,Women,Running,Air Zoom,11,0,5966.81,0,0,27/02/2025,Retail,Hyderabad,1489.99
2303,Kids,Running,Free RN,9,2,2504.09,0,5008.18,24/12/2024,Retail,Hyderabad,2971.55
2306,Kids,Basketball,Air Jordan,11,1,8267.56,0.29,5869.97,11/10/2024,Retail,Bengaluru,476.25
2307,Women,Running,Free RN,11,2,9369.1,0,18738.2,18/06/2025,Retail,Kolkata,2390.7
2308,Men,Running,Pegasus Turbo,11,0,5966.81,0.65,0,05/01/2025,Online,Bengaluru,2282.01
2026,Women,Training,Flex Trainer,7,4,5966.81,0.26,17661.75,25/09/2024,Online,Delhi,495.62
2314,Women,Soccer,Mercurial Superfly,7,2,5966.81,0.86,1670.71,12/09/2024,Retail,Mumbai,1505.11
2318,Men,Soccer,Phantom GT,11,2,5966.81,0.25,8950.21,04/04/2025,Retail,Delhi,1894.17
2322,Women,Running,Pegasus Turbo,9,0,8016.24,0,0,04/07/2025,Retail,Delhi,1333.86
2324,Women,Soccer,Mercurial Superfly,7,0,5966.81,0.21,0,27/02/2025,Online,Kolkata,2640.1
2325,Men,Basketball,Zoom Freak,7,0,8031.83,0.56,0,18/05/2025,Online,Kolkata,3954.38
2326,Women,Lifestyle,Dunk Low,11,4,9936.94,0,39747.76,12/10/2024,Retail,Kolkata,2047.65
2327,Men,Training,Flex Trainer,11,4,6640.67,0,26562.68,21/03/2025,Retail,Delhi,3402.41
2328,Men,Lifestyle,Waffle One,6,2,6449.46,0.29,9158.23,11/09/2024,Online,Mumbai,39.69
2329,Men,Basketball,Kyrie Flytrap,9,4,4981.26,0,19925.04,06/05/2025,Online,Mumbai,1833.07
2334,Women,Training,SuperRep Go,9,4,5966.81,0.82,4296.1,06/06/2024,Retail,Mumbai,-80.25
2335,Women,Running,Free RN,11,0,5620.64,0,0,01/05/2024,Online,Mumbai,217.22
2336,Kids,Soccer,Mercurial Superfly,8,4,8482.43,0,33929.72,22/10/2023,Online,Pune,3854.71
2340,Women,Running,Free RN,7,3,5966.81,0.91,1611.04,08/07/2024,Online,Mumbai,-425.99
2343,Women,Basketball,Zoom Freak,11,0,7507.91,0,0,22/11/2024,Retail,Kolkata,1900.24
2345,Men,Running,React Infinity,11,0,5966.81,0,0,21/06/2025,Retail,Hyderabad,3039.05
2349,Kids,Soccer,Tiempo Legend,10,3,5966.81,0,17900.42,25/10/2023,Online,Delhi,-902.62
2350,Men,Running,Air Zoom,11,4,8228.88,0,32915.52,21/03/2025,Retail,Delhi,2494.5
2351,Men,Basketball,LeBron 20,11,3,4179.34,0,12538.02,29/07/2024,Retail,Pune,2363.69
2353,Kids,Training,ZoomX Invincible,9,0,5966.81,0.22,0,10/03/2024,Retail,Bengaluru,818.35
2354,Men,Basketball,Kyrie Flytrap,9,0,5966.81,0,0,09/06/2024,Online,Hyderabad,1445.09
2355,Women,Lifestyle,Waffle One,9,1,5966.81,0,5966.81,26/07/2024,Retail,Bengaluru,-887.83
2358,Men,Basketball,LeBron 20,7,4,5966.81,0,23867.23,24/02/2025,Online,Pune,1819.6
2361,Kids,Training,Flex Trainer,9,0,5966.81,1,0,30/07/2024,Retail,Mumbai,1302.98
2362,Women,Lifestyle,Blazer Mid,11,2,5966.81,1,0,12/09/2024,Online,Bengaluru,3817.26
2367,Kids,Lifestyle,Dunk Low,11,4,6202.99,0.84,3969.91,11/12/2024,Online,Bengaluru,-202.12
2369,Men,Basketball,LeBron 20,11,0,4248.21,0.5,0,07/11/2025,Online,Hyderabad,2427.86
2370,Men,Running,Pegasus Turbo,9,2,5966.81,0,11933.61,02/04/2025,Online,Delhi,867.37
2371,Kids,Training,Flex Trainer,11,1,5966.81,0.05,5668.47,15/04/2025,Online,Kolkata,3424.65
2377,Men,Basketball,LeBron 20,11,4,5966.81,0,23867.23,07/02/2025,Online,Mumbai,2438.24
2379,Men,Lifestyle,Air Force 1,9,4,5966.81,0,23867.23,04/09/2024,Online,Mumbai,3289.77
2380,Men,Soccer,Phantom GT,7,1,7932.85,0,7932.85,12/09/2024,Retail,Delhi,2707.27
2381,Kids,Lifestyle,Dunk Low,7,3,4834.65,1,0,10/12/2024,Retail,Pune,213.96
2382,Men,Lifestyle,Waffle One,9,4,5966.81,0,23867.23,03/09/2024,Retail,Mumbai,787.42
2384,Women,Training,SuperRep Go,11,3,2070.97,1,0,09/05/2024,Online,Delhi,42.89
2387,Women,Basketball,Kyrie Flytrap,11,3,5966.81,0,17900.42,21/09/2024,Online,Pune,1042.09
2388,Kids,Running,Air Zoom,9,1,5321.46,0,5321.46,09/02/2024,Retail,Bengaluru,2587.26
2389,Women,Basketball,Kyrie Flytrap,11,0,7901.16,0.77,0,10/08/2024,Online,Delhi,-406.39
2002,Women,Training,ZoomX Invincible,11,4,6820.42,0,27281.68,10/03/2024,Retail,Kolkata,3842.85
2395,Kids,Soccer,Premier III,11,1,5966.81,0,5966.81,07/08/2025,Online,Pune,85
2025,Kids,Training,ZoomX Invincible,11,4,6743.07,0,26972.28,10/09/2024,Online,Pune,-277.41
2012,Kids,Running,Pegasus Turbo,11,0,9220.15,0,0,04/02/2025,Retail,Pune,2688.05
2405,Men,Basketball,Kyrie Flytrap,6,1,5966.81,0,5966.81,17/11/2024,Online,Kolkata,69.95
2406,Men,Training,Metcon 7,9,4,6458.72,0,25834.88,17/09/2023,Online,Mumbai,402
2408,Men,Soccer,Premier III,11,1,5966.81,0,5966.81,10/09/2024,Retail,Bengaluru,1731.86
2415,Women,Running,Free RN,8,3,6178.39,0,18535.17,22/07/2024,Retail,Bengaluru,73.75
2416,Kids,Soccer,Mercurial Superfly,9,3,6245.23,1,0,14/12/2024,Retail,Mumbai,3485.64
2421,Women,Running,React Infinity,7,2,8136.39,0,16272.78,03/10/2025,Retail,Pune,3398.15
2422,Kids,Soccer,Tiempo Legend,11,4,5966.81,0,23867.23,23/07/2024,Retail,Mumbai,3044.66
2428,Kids,Basketball,Kyrie Flytrap,12,2,5966.81,0,11933.61,12/07/2024,Retail,Mumbai,427.51
2430,Women,Soccer,Tiempo Legend,12,3,5966.81,0.1,16110.38,07/09/2025,Online,Pune,215.3
2431,Women,Lifestyle,Blazer Mid,9,1,5966.81,0,5966.81,15/11/2024,Online,Hyderabad,1627.78
2432,Women,Basketball,Zoom Freak,9,1,3036.61,0.86,425.13,26/10/2024,Online,Mumbai,3754.3
2437,Women,Running,Pegasus Turbo,11,3,5966.81,0.53,8413.2,31/07/2024,Retail,Hyderabad,-281.42
2443,Women,Basketball,LeBron 20,7,1,6271.66,0,6271.66,15/03/2025,Retail,Mumbai,2449.43
2444,Women,Lifestyle,Blazer Mid,11,3,3676.04,0,11028.12,25/05/2025,Retail,Pune,1621.74
2003,Women,Lifestyle,Waffle One,11,2,8516.45,0.22,13285.66,30/09/2023,Online,Kolkata,1764.52
2451,Kids,Soccer,Premier III,11,2,5966.81,0.54,5489.46,11/04/2023,Online,Mumbai,2233.57
2456,Women,Soccer,Premier III,7,0,4254.68,0,0,15/03/2025,Retail,Kolkata,3498.64
2457,Women,Soccer,Mercurial Superfly,11,0,8206.22,0,0,03/04/2025,Retail,Bengaluru,2443.4
2460,Women,Basketball,Zoom Freak,11,2,5482.96,0.35,7127.85,11/04/2024,Online,Kolkata,-823.8
2464,Women,Lifestyle,Blazer Mid,11,3,2699.59,0,8098.77,30/06/2024,Retail,Hyderabad,3507.56
2465,Kids,Lifestyle,Blazer Mid,7,1,7814.02,0,7814.02,22/03/2025,Retail,Pune,684.07
2467,Kids,Training,SuperRep Go,7,1,8484.82,0,8484.82,11/05/2023,Online,Mumbai,1899.54
2468,Women,Soccer,Phantom GT,7,0,6012.23,0.62,0,26/10/2024,Retail,Bengaluru,-1113.25
2469,Men,Training,Metcon 7,11,4,5966.81,1,0,21/05/2025,Retail,Mumbai,-279.26
2475,Men,Running,Free RN,9,2,5966.81,1,0,01/07/2025,Online,Bengaluru,3885.97
2478,Women,Soccer,Mercurial Superfly,11,2,5966.81,0.62,4534.77,05/12/2025,Online,Pune,-223.4
2481,Women,Soccer,Premier III,7,1,9145.37,0.07,8505.19,17/04/2025,Online,Pune,1755.19
2487,Men,Running,Air Zoom,9,3,5881.13,0.8,3528.68,31/03/2025,Online,Hyderabad,2108.4
2489,Men,Lifestyle,Air Force 1,11,4,5966.81,0.18,19571.13,10/02/2024,Retail,Hyderabad,1415.34
2490,Women,Soccer,Premier III,9,3,5015.19,0.75,3761.39,26/11/2024,Online,Hyderabad,-494.53
2493,Women,Soccer,Premier III,11,3,6042.94,0,18128.82,26/11/2024,Retail,Kolkata,1659.75
2494,Kids,Lifestyle,Dunk Low,11,2,5966.81,0,11933.61,20/11/2024,Retail,Mumbai,1007.7
2495,Kids,Basketball,LeBron 20,11,3,5966.81,1,0,20/01/2025,Retail,Bengaluru,36.16
2496,Kids,Running,React Infinity,7,2,4110.72,0.32,5590.58,24/12/2024,Retail,Bengaluru,3894.95
2497,Kids,Basketball,Air Jordan,11,1,5966.81,0,5966.81,29/11/2023,Online,Mumbai,2592.98
2502,Women,Basketball,Kyrie Flytrap,7,0,5966.81,0,0,09/10/2023,Retail,Mumbai,2412.82
2507,Men,Soccer,Phantom GT,9,2,5966.81,0,11933.61,13/03/2024,Retail,Hyderabad,2116.53
2513,Women,Basketball,Zoom Freak,11,4,9848.8,0,39395.2,10/11/2024,Online,Pune,2764.66
2514,Kids,Basketball,Air Jordan,7,1,5966.81,0,5966.81,26/05/2025,Online,Bengaluru,1790.41
2521,Kids,Lifestyle,Blazer Mid,7,4,3645.35,0,14581.4,25/09/2024,Online,Kolkata,3265.83
2522,Men,Running,Pegasus Turbo,11,4,6243.91,0,24975.64,13/02/2024,Retail,Kolkata,-199.13
2525,Women,Training,Metcon 7,11,2,5966.81,0,11933.61,18/02/2025,Retail,Kolkata,3453.18
2526,Kids,Lifestyle,Waffle One,10,1,5966.81,0,5966.81,08/01/2024,Retail,Hyderabad,3188.07
2528,Women,Training,ZoomX Invincible,11,2,5966.81,0,11933.61,06/10/2025,Online,Delhi,134.1
2530,Women,Lifestyle,Dunk Low,7,2,4357.79,0,8715.58,27/02/2025,Retail,Mumbai,3936.13
2535,Men,Soccer,Tiempo Legend,11,2,2786.84,0.21,4403.21,25/01/2025,Online,Mumbai,3345.36
2538,Men,Lifestyle,Waffle One,11,2,9701.24,0,19402.48,10/06/2024,Retail,Kolkata,223.82
2547,Women,Soccer,Mercurial Superfly,7,1,3068.13,0,3068.13,07/08/2025,Retail,Kolkata,-586.29
2550,Men,Soccer,Premier III,11,1,6121.21,0.05,5815.15,09/08/2023,Online,Kolkata,2470.08
2552,Women,Soccer,Premier III,10,1,5966.81,0.41,3520.42,05/03/2025,Retail,Hyderabad,3389.34
2554,Women,Training,Flex Trainer,7,1,6755.56,0,6755.56,13/01/2025,Retail,Bengaluru,1002.19
2557,Men,Basketball,LeBron 20,7,3,5966.81,0,17900.42,11/09/2024,Retail,Kolkata,1115.74
2559,Men,Lifestyle,Air Force 1,7,3,6011.84,0,18035.52,02/10/2025,Online,Kolkata,-99.73
2560,Kids,Basketball,Zoom Freak,7,2,5966.81,0,11933.61,16/01/2025,Retail,Delhi,3493.16
2562,Kids,Training,ZoomX Invincible,9,1,5966.81,0,5966.81,21/12/2024,Retail,Mumbai,-79.1
2563,Men,Soccer,Mercurial Superfly,7,2,9443.35,0.54,8687.88,13/04/2025,Retail,Kolkata,2706.61
2565,Women,Lifestyle,Dunk Low,11,4,3028.41,0,12113.64,18/09/2024,Online,Mumbai,1754.48
2567,Women,Running,Air Zoom,7,3,5966.81,0,17900.42,15/09/2024,Online,Pune,1162.3
2569,Women,Basketball,Air Jordan,9,2,9605.11,0.88,2305.23,24/08/2024,Online,Hyderabad,128.89
2575,Men,Training,Metcon 7,11,2,3582.67,0,7165.34,07/03/2025,Online,Hyderabad,1982.16
2578,Men,Lifestyle,Blazer Mid,9,2,5966.81,0,11933.61,05/10/2025,Retail,Bengaluru,3550
2579,Kids,Lifestyle,Dunk Low,7,3,9541.83,0,28625.49,26/07/2024,Online,Delhi,589.3
2580,Kids,Training,Flex Trainer,7,1,2749.79,0,2749.79,12/06/2024,Retail,Kolkata,2978.85
2581,Kids,Running,Free RN,10,0,5966.81,0.53,0,30/10/2024,Online,Mumbai,800.45
2589,Men,Training,Metcon 7,7,3,5966.81,0,17900.42,17/09/2024,Online,Kolkata,1429.18
2594,Women,Training,ZoomX Invincible,11,3,7944.34,0.67,7864.9,23/02/2024,Retail,Hyderabad,1534.91
2595,Men,Basketball,LeBron 20,11,0,5966.81,0,0,23/02/2024,Retail,Delhi,420.27
2597,Kids,Running,Air Zoom,11,3,3348.83,0,10046.49,12/05/2024,Online,Bengaluru,-540.08
2600,Kids,Lifestyle,Air Force 1,7,3,5966.81,0,17900.42,11/04/2024,Online,Pune,803.62
2601,Women,Soccer,Tiempo Legend,11,1,5966.81,0,5966.81,27/09/2024,Retail,Delhi,3739.4
2602,Kids,Running,Free RN,11,2,3518.53,0,7037.06,17/11/2024,Online,Pune,3494.88
2603,Women,Running,Air Zoom,9,0,5966.81,0,0,18/03/2025,Online,Hyderabad,-144.08
2047,Men,Soccer,Phantom GT,11,4,6136.45,0,24545.8,17/12/2024,Online,Kolkata,2790.51
2612,Women,Training,Flex Trainer,7,0,5966.81,0,0,08/10/2023,Retail,Mumbai,507.1
2615,Women,Soccer,Phantom GT,11,3,3042.37,0.12,8031.86,24/03/2025,Online,Pune,2105.48
2619,Kids,Lifestyle,Waffle One,9,4,5966.81,0.65,8353.53,22/01/2024,Online,Hyderabad,-300.28
2621,Kids,Soccer,Phantom GT,9,3,6466.57,0.59,7953.88,19/05/2024,Online,Bengaluru,-1152.86
2628,Kids,Basketball,Kyrie Flytrap,9,4,5966.81,0.44,13365.65,29/06/2025,Retail,Pune,-348.88
2633,Kids,Basketball,Air Jordan,10,0,5966.81,0.71,0,13/06/2025,Online,Bengaluru,3634.35
2638,Men,Soccer,Premier III,8,1,5028.99,0,5028.99,22/01/2024,Online,Pune,654.11
2640,Kids,Training,ZoomX Invincible,9,2,7900.02,0,15800.04,08/02/2024,Online,Bengaluru,861.92
2022,Kids,Training,ZoomX Invincible,9,3,5966.81,0,17900.42,27/11/2024,Retail,Mumbai,689.62
2646,Men,Soccer,Premier III,11,1,5966.81,0.89,656.35,20/10/2024,Retail,Kolkata,2676.52
2651,Kids,Basketball,Air Jordan,9,1,5966.81,0,5966.81,27/10/2024,Online,Kolkata,-819.33
2652,Women,Basketball,Air Jordan,11,2,5966.81,1,0,04/10/2025,Online,Delhi,-240.8
2657,Kids,Running,Air Zoom,7,4,5966.81,0,23867.23,04/07/2025,Online,Delhi,494.45
2658,Women,Lifestyle,Dunk Low,9,1,5966.81,0,5966.81,26/04/2025,Online,Delhi,155.53
2663,Kids,Training,Metcon 7,9,2,5966.81,0.43,6802.16,17/06/2025,Retail,Delhi,3174.81
2664,Kids,Running,Pegasus Turbo,9,2,9103.08,0,18206.16,12/11/2024,Online,Mumbai,1726.8
2667,Women,Lifestyle,Air Force 1,11,3,9367.66,0,28102.98,23/03/2025,Online,Delhi,-623.95
2027,Men,Soccer,Premier III,12,4,7204.01,0,28816.04,15/06/2025,Retail,Delhi,3951.42
2672,Women,Lifestyle,Air Force 1,11,2,5966.81,0,11933.61,08/04/2024,Online,Mumbai,67.58
2675,Women,Soccer,Premier III,12,3,5966.81,0,17900.42,04/04/2025,Online,Hyderabad,2731.71
2678,Kids,Running,Pegasus Turbo,11,0,4240.24,1,0,11/06/2024,Retail,Pune,3483.11
2682,Men,Basketball,LeBron 20,11,4,5966.81,0.41,14081.66,28/08/2024,Retail,Pune,3614.76
2683,Kids,Lifestyle,Dunk Low,11,1,5966.81,0,5966.81,06/12/2025,Online,Mumbai,1119.71
2684,Men,Lifestyle,Blazer Mid,9,0,5966.81,0.73,0,04/11/2025,Retail,Mumbai,1556.61
2685,Kids,Lifestyle,Dunk Low,7,4,5966.81,0,23867.23,22/05/2025,Retail,Hyderabad,1377.72
2699,Men,Lifestyle,Dunk Low,11,0,5966.81,0,0,21/02/2025,Online,Mumbai,1052.65
2700,Kids,Training,Metcon 7,11,0,5966.81,0.48,0,07/11/2025,Retail,Bengaluru,1423.83
2702,Men,Basketball,Kyrie Flytrap,11,0,5966.81,0,0,16/12/2024,Online,Pune,687.32
2706,Women,Training,ZoomX Invincible,11,0,5966.81,0,0,05/08/2025,Retail,Kolkata,3153.1
2709,Kids,Running,Free RN,10,1,6302.98,0.48,3277.55,03/08/2025,Retail,Delhi,2835.93
2713,Men,Lifestyle,Air Force 1,9,1,7877.36,0.55,3544.81,05/10/2025,Retail,Kolkata,3663.49
2715,Kids,Basketball,LeBron 20,9,0,5966.81,1,0,13/06/2025,Online,Kolkata,-1164.37
2716,Kids,Training,SuperRep Go,7,0,4830.96,0,0,17/11/2024,Online,Pune,1344.73
2717,Men,Running,Free RN,7,0,9473.09,0,0,17/11/2024,Online,Delhi,3055.36
2721,Kids,Training,Flex Trainer,9,0,5966.81,0,0,11/11/2023,Online,Bengaluru,1275.23
2722,Women,Lifestyle,Dunk Low,9,0,5966.81,0.09,0,30/09/2024,Online,Kolkata,818.65
